barcode,status,matriz_name,matriz_list_price,matriz_standard_price,branch_id,branch_name,branch_list_price_before,branch_standard_price_before,branch_list_price_after,branch_standard_price_after,error
8022297048147,PLANNED,TINTE ALFAPARF .013,6.0869565,5.25,1973,TINTE ALFAPARF .013,6.09,5.25,6.0869565,5.25,
8022297166896,PLANNED,TINTE ALFAPARF 3 6.3,6.08695652,5.25,1881,TINTE ALFAPARF 3 6.3,6.09,5.25,6.08695652,5.25,
8022297166995,PLANNED,TINTE ALFAPARF 5.62,6.08695652,5.5,1907,TINTE ALFAPARF 5.62,6.09,5.5,6.08695652,5.5,
8022297166940,PLANNED,TINTE ALFAPARF 5.65,6.0869565,5.25,1903,TINTE ALFAPARF 5.65,6.09,5.25,6.0869565,5.25,
8022297166759,PLANNED,TINTE ALFAPARF 6.4,6.0869565,5.25,1896,TINTE ALFAPARF 6.4,6.09,5.25,6.0869565,5.25,
8022297166810,PLANNED,TINTE ALFAPARF 6.66I,6.08695652,5.5,1897,TINTE ALFAPARF 6.66I,6.09,5.5,6.08695652,5.5,
8022297156545,PLANNED,TINTE ALFAPARF 8.13,6.0869565,5.25,1873,TINTE ALFAPARF 8.13,6.09,5.25,6.0869565,5.25,
8022297166797,PLANNED,TINTE ALFAPARF 8.66I,6.08695652,5.5,1906,TINTE ALFAPARF 8.66I,6.09,5.5,6.08695652,5.5,
8022297166865,PLANNED,TINTE ALFAPARF 9.3,6.0869565,5.25,1884,TINTE ALFAPARF 9.3,6.09,5.25,6.0869565,5.25,
8022297166711,PLANNED,TINTE ALFAPARF 9NB,6.08695652,5.5,374,TINTE ALFAPARF 9NB,6.09,5.5,6.08695652,5.5,
7861076261305,PLANNED,TINTE BRENE CHARDON # 8.3,4.34782609,2.97,225,TINTE BRENE CHARDON # 8.3,4.35,2.97,4.34782609,2.97,
7702113048643,PLANNED,TINTE DE SALONIN # 3.0,5.2139123,2.375,355,TINTE DE SALONIN # 3.0,5.21,3.8,5.2139123,2.375,
7702113049091,PLANNED,TINTE DE SALONIN # 5.4,5.2173913,3.28,352,TINTE DE SALONIN # 5.4,5.22,3.28,5.2173913,3.28,
7702113049107,PLANNED,TINTE DE SALONIN # 7.4,5.2173913,2.375,344,TINTE DE SALONIN # 7.4,5.22,74.0,5.2173913,2.375,
7702113048797,PLANNED,TINTE DE SALONIN # 8.01,5.2173913,3.28,340,TINTE DE SALONIN # 8.01,5.22,3.28,5.2173913,3.28,
8022033007018,PLANNED,TINTE FARMAVITA # 1.0,6.08695652,4.71,2322,TINTE FARMAVITA # 1.0,6.09,4.71,6.08695652,4.71,
8022033007636,PLANNED,TINTE FARMAVITA # 10.02,5.2173913,4.0,1970,TINTE FARMAVITA # 10.02,5.22,4.0,5.2173913,4.0,
8022033102089,PLANNED,TINTE FARMAVITA # 10.11,6.08695652,4.71,1979,TINTE FARMAVITA # 10.11,6.09,4.71,6.08695652,4.71,
8022033102072,PLANNED,TINTE FARMAVITA # 10.12,6.08695652,4.71,1946,TINTE FARMAVITA # 10.12,6.09,4.71,6.08695652,4.71,
8022033102102,PLANNED,TINTE FARMAVITA # 10.21,6.08695652,4.71,1981,TINTE FARMAVITA # 10.21,6.09,4.71,6.08695652,4.71,
8022033108708,PLANNED,TINTE FARMAVITA # 10.26,6.08695652,4.71,1980,TINTE FARMAVITA # 10.26,6.09,4.71,6.08695652,4.71,
8022033108647,PLANNED,TINTE FARMAVITA # 10.34,5.2173913,4.0,1988,TINTE FARMAVITA # 10.34,5.22,4.0,5.2173913,4.0,
